Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 5, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11212033467&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10403486869&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11075909208&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11495005591&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 12, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB11682205087&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 10, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10376465050&groupId=&qty=1
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 7, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10535371538&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 12, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543743&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452533890&groupId=&qty=2
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 9, Price: $11.00, Est. Price: $15.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-2-27-2025--sports-nba-basketball/production/5159899?showDetails=VB10452543742&groupId=&qty=2
