Section: 232, Row: 6, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 215, Row: 6, Price: $34 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 203, Row: 10, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 213, Row: 9, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 229, Row: 7, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 230, Row: 9, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 224, Row: 9, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 209, Row: 7, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 210, Row: 2, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 217, Row: 13, Price: $31 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 220, Row: 14, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 219, Row: 10, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
Section: 216, Row: 8, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-atlanta-hawks-tickets-footprint-center-1-9-25-7pm/6634417/?qty=2-false
