Section: 215, Row: 8, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 231, Row: 8, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 231, Row: 12, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 213, Row: 7, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 6, Price: $63 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 11, Price: $47 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 14, Price: $45 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 226, Row: 5, Price: $47 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 7, Price: $51 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 232, Row: 12, Price: $49 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 215, Row: 7, Price: $55 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 9, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 226, Row: 6, Price: $46 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 223, Row: 11, Price: $48 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 230, Row: 7, Price: $52 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 201, Row: 6, Price: $65 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 224, Row: 6, Price: $54 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 210, Row: 10, Price: $40 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
Section: 209, Row: 11, Price: $42 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-utah-jazz-tickets-footprint-center-1-11-25-3pm/6634421/?qty=2-false
