Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 6, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 14, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 7, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 4, Price: $22, Est. Price: $22, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 15, Price: $13, Est. Price: $13, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 6, Price: $21, Est. Price: $21, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 7, Price: $22, Est. Price: $22, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 5, Price: $22, Est. Price: $22, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 7, Price: $20, Est. Price: $20, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 14, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 14, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 14, Price: $15, Est. Price: $15, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 4, Price: $22, Est. Price: $22, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 12, Price: $14, Est. Price: $14, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 9, Price: $16, Est. Price: $16, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 217, Row: 9, Price: $23, Est. Price: $23, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 204, Row: 11, Price: $23, Est. Price: $23, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 215, Row: 11, Price: $19, Est. Price: $19, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 8, Price: $17, Est. Price: $17, URL: https://www.tickpick.com/buy-phoenix-suns-vs-new-orleans-pelicans-tickets-footprint-center-2-27-25-8pm/6634468/?qty=2-false
