Section: 210, Row: 2, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 218, Row: 8, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 230, Row: 4, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 220, Row: 14, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 226, Row: 8, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 227, Row: 14, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 210, Row: 10, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 228, Row: 6, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 229, Row: 7, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 230, Row: 13, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 202, Row: 7, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 206, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 217, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 212, Row: 7, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 224, Row: 10, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 228, Row: 5, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
Section: 221, Row: 6, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-1-9-2025/event/154770084/?quantity=2
