Section: 224, Row: 9, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452360004&groupId=&qty=2
Section: 230, Row: 9, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452358358&groupId=&qty=2
Section: 211, Row: 11, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359973&groupId=&qty=2
Section: 231, Row: 8, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359999&groupId=&qty=2
Section: 215, Row: 8, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359991&groupId=&qty=2
Section: 213, Row: 9, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452360001&groupId=&qty=2
Section: 215, Row: 8, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10397859974&groupId=&qty=2
Section: 212, Row: 11, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10397860651&groupId=&qty=2
Section: 223, Row: 8, Price: $22.00, Est. Price: $30.80, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872449&groupId=&qty=2
Section: 230, Row: 6, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465737&groupId=&qty=2
Section: 211, Row: 8, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466283&groupId=&qty=2
Section: 210, Row: 7, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349349594&groupId=&qty=2
Section: 215, Row: 5, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11349349550&groupId=&qty=2
Section: 220, Row: 14, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466294&groupId=&qty=2
Section: 226, Row: 8, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466331&groupId=&qty=2
Section: 215, Row: 5, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11332743118&groupId=&qty=2
Section: 230, Row: 4, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872574&groupId=&qty=2
Section: 222, Row: 14, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10452359996&groupId=&qty=2
Section: 228, Row: 7, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11096051719&groupId=&qty=2
Section: 218, Row: 8, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10839065679&groupId=&qty=2
Section: 230, Row: 13, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11386872573&groupId=&qty=2
Section: 226, Row: 9, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11323142988&groupId=&qty=2
Section: 217, Row: 9, Price: $23.00, Est. Price: $32.20, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11362538665&groupId=&qty=2
Section: 210, Row: 2, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465754&groupId=&qty=2
Section: 210, Row: 6, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465743&groupId=&qty=2
Section: 230, Row: 14, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183466304&groupId=&qty=2
Section: 221, Row: 6, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB11183465761&groupId=&qty=2
Section: 210, Row: 10, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10389588151&groupId=&qty=2
Section: 210, Row: 10, Price: $24.00, Est. Price: $33.60, Ticket URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-1-9-2025--sports-nba-basketball/production/5159788?showDetails=VB10374471279&groupId=&qty=2
