Section: 224, Row: 9, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 215, Row: 11, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 230, Row: 13, Price: $24 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 5, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 4, Price: $29 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 215, Row: 4, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 215, Row: 7, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 230, Row: 5, Price: $33 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 230, Row: 6, Price: $32 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 209, Row: 8, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 223, Row: 12, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 228, Row: 4, Price: $30 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 231, Row: 3, Price: $38 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 226, Row: 10, Price: $24 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 212, Row: 10, Price: $24 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 232, Row: 14, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 222, Row: 14, Price: $28 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 203, Row: 10, Price: $39 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 202, Row: 11, Price: $36 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
Section: 205, Row: 5, Price: $41 ALL-IN, URL: https://www.tickpick.com/buy-phoenix-suns-vs-charlotte-hornets-tickets-footprint-center-1-12-25-7pm/6634436/?qty=2-false
