Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 7, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8410978033
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 231, Row: 10, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061388
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 212, Row: 14, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8070079642
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 227, Row: 8, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7831001239
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 215, Row: 13, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8276466772
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 213, Row: 6, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8410978052
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 222, Row: 14, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7842845903
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 224, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8276058117
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 210, Row: 10, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=8456061198
Date: 03-02-2025, Home Team: Suns, Away Team: Timberwolves, Section: 230, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-2-2025/event/154770103/?quantity=2&listingId=7842841785
