Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 7, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11450979043&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 8, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10453477170&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 8, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10453477075&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 212, Row: 10, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11493249991&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 6, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11665533604&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 7, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11450978973&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 210, Row: 7, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11528185546&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 213, Row: 9, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10453477185&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 9, Price: $29.00, Est. Price: $40.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10453176059&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 8, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11493249843&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 9, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10825944950&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 9, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11573557900&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 11, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11075885897&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 4, Price: $31.00, Est. Price: $43.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10825945486&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 6, Price: $31.00, Est. Price: $43.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11493250000&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 3, Price: $31.00, Est. Price: $43.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11493249785&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 8, Price: $31.00, Est. Price: $43.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11075874541&groupId=&qty=1
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 230, Row: 14, Price: $26.00, Est. Price: $36.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB10371425287&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 14, Price: $26.00, Est. Price: $36.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11536378908&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 231, Row: 10, Price: $27.00, Est. Price: $37.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11366982854&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 224, Row: 8, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11450978989&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 227, Row: 7, Price: $28.00, Est. Price: $39.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11450979043&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 205, Row: 9, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11573557900&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 215, Row: 11, Price: $30.00, Est. Price: $42.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11075885897&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 209, Row: 8, Price: $31.00, Est. Price: $43.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11075874541&groupId=&qty=2
Date: 03-14-2025, Home Team: Suns, Away Team: Kings, Section: 228, Row: 9, Price: $22.00, Est. Price: $30.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-14-2025--sports-nba-basketball/production/5159928?showDetails=VB11536379007&groupId=&qty=2
