Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 314, Row: 22, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8860834423
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 20, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8839976413
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 322, Row: 20, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8849328757
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 23, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8866058581
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 25, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840247547
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 317, Row: 22, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8850052758
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 318, Row: 21, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8840034918
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 14, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8874084774
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 9, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8838319645
Date: 03-27-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 14, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-27-2025/event/154653730/?quantity=2&listingId=8859866854
