Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 221, Row: 9, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8087928013
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 218, Row: 10, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7843475517
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 231, Row: 5, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7809313937
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 217, Row: 8, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7807561832
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 231, Row: 3, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8673309471
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 224, Row: 3, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7809314455
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 204, Row: 11, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=7807542296
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 209, Row: 6, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8093824249
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 216, Row: 7, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417752787
Date: 03-17-2025, Home Team: Suns, Away Team: Raptors, Section: 226, Row: 6, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-17-2025/event/154770115/?quantity=2&listingId=8417757928
