Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 232, Row: 7, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988523
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 5, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988494
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 224, Row: 6, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8505449333
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 228, Row: 9, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988463
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 211, Row: 7, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988468
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 7, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988466
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 225, Row: 7, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8455988471
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 227, Row: 8, Price: $11, Est. Price: $19.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7830997724
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 4, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244526969
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 226, Row: 10, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8463979355
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 230, Row: 7, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8406611465
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 10, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7803603858
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 4, Price: $12, Est. Price: $21.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8244527984
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 7, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7897531617
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 206, Row: 9, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011421
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 223, Row: 8, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011447
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 210, Row: 2, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8289923715
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 13, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7803603825
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 231, Row: 9, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8063011398
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 209, Row: 9, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=8511229003
Date: 02-27-2025, Home Team: Suns, Away Team: Pelicans, Section: 229, Row: 7, Price: $13, Est. Price: $23.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-2-27-2025/event/154770118/?quantity=2&listingId=7816989121
