Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 11, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160425&groupId=&qty=1
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 11, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160430&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 11, Price: $17.00, Est. Price: $23.80, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160437&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 11, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160425&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 9, Price: $14.00, Est. Price: $19.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11536432304&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 6, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386745174&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 6, Price: $18.00, Est. Price: $25.20, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386745120&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 221, Row: 14, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11717488196&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 8, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11717482835&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 211, Row: 11, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11696817219&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 9, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11709558256&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 231, Row: 10, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10397860019&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 5, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386743571&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 6, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498442&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 211, Row: 7, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11212160420&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 231, Row: 8, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498516&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 8, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498502&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 5, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386744241&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 4, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11604329693&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 222, Row: 14, Price: $19.00, Est. Price: $26.60, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498505&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 205, Row: 8, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10367081743&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 226, Row: 12, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11696817411&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 4, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386745155&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 3, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386743761&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 232, Row: 12, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11752715632&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 232, Row: 14, Price: $20.00, Est. Price: $28.00, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11713205980&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 14, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498491&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 13, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10382621171&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 220, Row: 10, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11520772929&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 201, Row: 9, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10453498349&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 9, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11713206525&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 5, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11487029206&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 11, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB11696817470&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 10, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10389591694&groupId=&qty=2
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 3, Price: $21.00, Est. Price: $29.40, URL: https://www.vividseats.com/phoenix-suns-tickets-footprint-center-3-19-2025--sports-nba-basketball/production/5159941?showDetails=VB10386744980&groupId=&qty=2
