Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 214, Row: 14, Price: $68, Est. Price: $98.6, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327188
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 205, Row: 11, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8872230903
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 208, Row: 11, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328417
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 208, Row: 13, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867328490
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 208, Row: 14, Price: $69, Est. Price: $100.05, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8873825185
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 219, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8865859958
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 219, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326565
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 219, Row: 13, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326519
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 219, Row: 14, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867326542
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 203, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327954
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 216, Row: 6, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8872231146
Date: 06-18-2025, Home Team: PHX Arena, Away Team: Wu Tang Clan, Section: 203, Row: 12, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/wu-tang-clan-phoenix-tickets-6-18-2025/event/157376307/?quantity=2&listingId=8867327992
