Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 13, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7843594568
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 4, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8422744919
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 229, Row: 12, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524473
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 216, Row: 14, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659218
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 7, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8422744924
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 12, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659289
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 4, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8391302775
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 229, Row: 8, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8510524579
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 230, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8550830387
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 8, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8422744508
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8289924431
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 220, Row: 14, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8484944338
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 205, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810529112
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 232, Row: 9, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659543
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 202, Row: 14, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8637593786
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 4, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7803684077
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 231, Row: 5, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8628748822
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 206, Row: 7, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8538710663
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 206, Row: 8, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=8642686634
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 222, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659478
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 217, Row: 14, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7810529021
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 225, Row: 11, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-21-2025/event/154770078/?quantity=2&listingId=7805659245
