Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 215, Row: 5, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310612
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 217, Row: 14, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7843506433
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 11, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8624543784
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 227, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8636548944
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 3, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310549
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 4, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809311173
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 205, Row: 8, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7799265771
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 228, Row: 10, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8386321207
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 210, Row: 4, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310789
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 224, Row: 9, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8639554278
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 14, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8386321298
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 209, Row: 13, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7804325909
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 231, Row: 3, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310623
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 212, Row: 2, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=7809310877
Date: 03-19-2025, Home Team: Suns, Away Team: Bulls, Section: 230, Row: 7, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/phoenix-suns-phoenix-tickets-3-19-2025/event/154770092/?quantity=2&listingId=8540889771
