Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 222, Row: 13, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66e0d5b034454e89f9607eac?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 226, Row: 12, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66c2569004f4add891f8153b?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 232, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/678831d75f5eedb9b5ec4549?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 209, Row: 6, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/6733aa03585e58e5aa4d0f42?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 206, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/674d31d1585e58e5aa3f74ed?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 229, Row: 14, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/679d0d34f6af5e52e4034598?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 225, Row: 14, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66befeae04f4add891418d9f?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 224, Row: 5, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66e0d5af34454e89f9605a9c?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 213, Row: 9, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66c55f0304f4add89183eaa6?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 215, Row: 8, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/675b454db98988f2db57d809?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 210, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/673e448b585e58e5aaa6463c?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
Date: 03-21-2025, Home Team: Suns, Away Team: Cavaliers, Section: 220, Row: 14, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/nba-basketball/cavaliers-at-suns-tickets/3-21-2025-phoenix-az-footprint-center/events/66be5eab1a9b6440ea269c67/listings/66e0d5af34454e89f9605a3a?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=51cc3efe9afd148a730b55e7aca5abcd&resultPosition=1&searchIndex=performers&searchSessionId=98c227da-7dbe-4c76-961f-bcbd9a7d42c8
