Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 20, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e0b3e2207e70b60a1e7
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 20, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67a68e0e3e2207e70b60d639
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 13, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67b4ef132f94efc8108d3a97
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fbdec8018c76328013
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958ffdec8018c7632c781
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 8, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95905dec8018c763359cb
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 10, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d9590cdec8018c7633efc1
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 8, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d958fedec8018c7632a9ba
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 10, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67d95907dec8018c76337c1b
Date: 09-25-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 8, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-25-2025-phoenix-az-chase-field/events/66a1723b573fc39854bf8ef3/listings/67dab8c4dec8018c76f4c9f9
