Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/6764fda4b98988f2dbce6617
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/6764fda2b98988f2dbce342d
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0e3f0923f9bcd9ac713
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896dea5f5eedb9b543a18c
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896df95f5eedb9b544fc41
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896de65f5eedb9b5432f72
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 107, Row: 29, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896df15f5eedb9b544389c
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 310, Row: 3, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0e0f0923f9bcd9a935c
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 101, Row: 22, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67d48fb8dec8018c7684e117
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0ddf0923f9bcd9a6674
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 329, Row: 8, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca01c8dec8018c762351e1
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 328, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca01d3dec8018c7624a8fa
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 303, Row: 8, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca01cfdec8018c76244505
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67ca01d8dec8018c76256756
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 139, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0dcf0923f9bcd9a3c6f
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 137, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0def0923f9bcd9a7695
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 103, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67099139f0923f9bcdc4f625
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 104, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67099139f0923f9bcdc4f5ec
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/67896df15f5eedb9b5443901
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0dcf0923f9bcd9a3cce
Date: 09-02-2025, Home Team: Dbacks, Away Team: Rangers, Section: 325, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rangers-at-diamondbacks-tickets/9-2-2025-phoenix-az-chase-field/events/66a1721a030e7f93ea115dde/listings/670ea0e6f0923f9bcd9aed46
