Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e7f6af5e52e4fb671c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 410, Row: 3, Price: $225.00, Est. Price: $225.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67bf65dc2f94efc810e824c5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 449, Row: A, Price: $260.00, Est. Price: $260.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9a7dec8018c76787e6a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 125, Row: 36, Price: $265.00, Est. Price: $265.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67b51dbd2f94efc810bc5fb9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 134, Row: 25, Price: $269.00, Est. Price: $269.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aacd9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 440, Row: A, Price: $270.00, Est. Price: $270.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9b3dec8018c7679f46f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 447, Row: 1, Price: $277.00, Est. Price: $277.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9b8dec8018c767a9e79?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 113, Row: 15, Price: $284.00, Est. Price: $284.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c252f94efc8100aad26?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 435, Row: A, Price: $287.00, Est. Price: $287.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9acdec8018c76790c59?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 452, Row: A, Price: $290.00, Est. Price: $290.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c9e9b8dec8018c767a9e7e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 125, Row: 18, Price: $296.00, Est. Price: $296.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67c00c242f94efc8100a8cd0?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd4, Home Team: Cardinals, Away Team: Seahawks, Section: 413, Row: 8, Price: $305.00, Est. Price: $305.00, URL: https://gametime.co/nfl-football/seahawks-at-cardinals-tickets/3-3-2026-glendale-az-state-farm-stadium/events/677c937d707c8136ad2133e9/listings/67a372e7f6af5e52e4fb6718?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
