Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 325, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8606124145
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 313, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936706595
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 102, Row: 18, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936708713
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 102, Row: 19, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936705145
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 315, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936706683
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 30, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936705054
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 328, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8829795015
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 103, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8991956036
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 141, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8076543339
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 144, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8076552150
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 310, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276792
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 306, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276510
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 324, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936278546
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 137, Row: 29, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936276952
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 142, Row: 15, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8897571299
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 101, Row: 22, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8960215213
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 311, Row: 2, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936707252
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 307, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936706561
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 305, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936706138
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 325, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936704713
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 139, Row: 17, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936705178
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 107, Row: 29, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936707298
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 9, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8908132382
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 329, Row: 8, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8908142880
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 24, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607832561
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 108, Row: 27, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607832542
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 321, Row: 2, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8937076817
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 309, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8908142913
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 323, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8908140898
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 310, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8937077142
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 110, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8794379813
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 111, Row: 11, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8536498067
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 142, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623865
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 136, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936622326
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 107, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8936623705
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 136, Row: 17, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607836353
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 136, Row: 24, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8607836314
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 105, Row: 18, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8960207120
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 111, Row: 10, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8536498013
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 304, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8882291446
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163341
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 10, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163239
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163254
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163267
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 13, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163283
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 14, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163289
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 15, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163295
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 16, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163315
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 17, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163320
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 18, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163324
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 19, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163331
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 20, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163369
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 21, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163378
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 300, Row: 22, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8869163387
Date: 09-03-2025, Home Team: Dbacks, Away Team: Rangers, Section: 313, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-3-2025/event/154664536/?quantity=2&listingId=8835991765
