Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 328, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0cfedec8018c7676aa4f
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d3adec8018c767ce66a
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 39, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d21dec8018c767a34ec
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 303, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67ca0d24dec8018c767a7a9e
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 11, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/670ea1b5f0923f9bcdacbf59
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 1, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b7b3e2207e70b211cfa
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 140, Row: 21, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67c3f5c0dec8018c76813581
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 330, Row: 17, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b6a3e2207e70b1fb9ab
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 314, Row: 21, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67a68b7b3e2207e70b211d23
Date: 09-20-2025, Home Team: Dbacks, Away Team: Phillies, Section: 140, Row: 13, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-20-2025-phoenix-az-chase-field/events/66a172347a8b3ce2b5a976f3/listings/67d48fb7dec8018c7684bb4c
