Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 219, Row: 12, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8815738278
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 204, Row: 14, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8725681622
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 218, Row: 11, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619577
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 218, Row: 14, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619651
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 205, Row: 12, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619820
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 205, Row: 13, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8831806891
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 217, Row: 10, Price: $95, Est. Price: $137.75, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8762394403
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 11, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619961
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 12, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619960
Date: 07-12-2025, Home Team: PHX Arena, Away Team: Katy Perry, Section: 202, Row: 13, Price: $96, Est. Price: $139.20, URL: https://www.stubhub.com/katy-perry-phoenix-tickets-7-12-2025/event/157091962/?quantity=2&listingId=8723619920
