Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 113, Row: 34, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119fc3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 410, Row: 3, Price: $204.00, Est. Price: $204.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67bf662d2f94efc810ee174f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 125, Row: 14, Price: $209.00, Est. Price: $209.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a02e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 125, Row: 30, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67b51c812f94efc81091bdbf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67a372cbf6af5e52e4f95dda?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 134, Row: 25, Price: $231.00, Est. Price: $231.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a074?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 125, Row: 7, Price: $240.00, Est. Price: $240.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c752f94efc81011abfa?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 113, Row: 15, Price: $243.00, Est. Price: $243.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a05b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 120, Row: 18, Price: $257.00, Est. Price: $257.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cba2f94efc8101738dc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 118, Row: 20, Price: $259.00, Est. Price: $259.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c9a2f94efc810147b2a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 102, Row: 26, Price: $259.00, Est. Price: $259.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb32f94efc81016778a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 117, Row: 31, Price: $263.00, Est. Price: $263.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67bf662d2f94efc810ee1744?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 115, Row: 20, Price: $267.00, Est. Price: $267.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00caf2f94efc810162b3e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 103, Row: 30, Price: $270.00, Est. Price: $270.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb42f94efc81016a53c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 115, Row: 15, Price: $270.00, Est. Price: $270.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb62f94efc81016e087?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 134, Row: 17, Price: $272.00, Est. Price: $272.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc81011a089?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 135, Row: 35, Price: $276.00, Est. Price: $276.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb12f94efc8101649c3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 124, Row: 29, Price: $277.00, Est. Price: $277.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cbf2f94efc81017925a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 124, Row: 35, Price: $277.00, Est. Price: $277.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00ca52f94efc8101561f4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 123, Row: 26, Price: $279.00, Est. Price: $279.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67acc2593e2207e70b9b2f55?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 455, Row: A, Price: $279.00, Est. Price: $279.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cb32f94efc810168255?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 135, Row: 27, Price: $281.00, Est. Price: $281.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00ca32f94efc810153918?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 114, Row: 14, Price: $281.00, Est. Price: $281.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00cc12f94efc81017afbd?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 106, Row: 22, Price: $288.00, Est. Price: $288.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c742f94efc810119f71?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 454, Row: A, Price: $288.00, Est. Price: $288.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00c9d2f94efc81014c666?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd7, Home Team: Cardinals, Away Team: Titans, Section: 127, Row: 24, Price: $290.00, Est. Price: $290.00, URL: https://gametime.co/nfl-football/titans-at-cardinals-tickets/3-7-2026-glendale-az-state-farm-stadium/events/677c937ef46f0ed906d610f2/listings/67c00caf2f94efc810162b5e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
