Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 410, Row: 3, Price: $204.00, Est. Price: $204.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67bf65712f94efc810dc3617?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 125, Row: 36, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67b51ccd2f94efc8109a3b21?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67a374c9f6af5e52e424499e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 449, Row: A, Price: $225.00, Est. Price: $225.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e586dec8018c7605b9de?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 134, Row: 25, Price: $231.00, Est. Price: $231.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100f94fe?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 125, Row: 30, Price: $239.00, Est. Price: $239.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67b51ccd2f94efc8109a3b1d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 435, Row: A, Price: $239.00, Est. Price: $239.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e570dec8018c76033859?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 440, Row: A, Price: $242.00, Est. Price: $242.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e569dec8018c760286d4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 452, Row: A, Price: $242.00, Est. Price: $242.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c9e577dec8018c7603f51d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd2, Home Team: Cardinals, Away Team: Panthers, Section: 113, Row: 15, Price: $243.00, Est. Price: $243.00, URL: https://gametime.co/nfl-football/panthers-at-cardinals-tickets/3-5-2026-glendale-az-state-farm-stadium/events/677c9379f626368a28985915/listings/67c00c522f94efc8100fb1a8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
