Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 9, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d5d3e2207e70b540eb3
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0ceedec8018c7674e4f3
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 32, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d1fdec8018c7679e816
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d38dec8018c767c9bef
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d33dec8018c767c10df
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 39, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0cfadec8018c767648cd
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 40, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d05dec8018c76773aa3
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d3adec8018c767ce312
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d3adec8018c767ce87d
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d1ddec8018c7679ac58
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0cf0dec8018c76753374
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d13dec8018c7678b0be
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d07dec8018c76777363
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d0adec8018c7677bad7
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d22dec8018c767a4115
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 40, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d3cdec8018c767d1bbb
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 9, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67aab0e03e2207e70b6b94ce
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 9, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/670ea1acf0923f9bcdabe05f
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d563e2207e70b537262
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 19, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d633e2207e70b54475a
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 8, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e4a5f5eedb9b54d3bd1
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 18, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d683e2207e70b547729
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 3, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/670ea1b5f0923f9bcdacdb30
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0cebdec8018c76748987
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d38dec8018c767ca2e7
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d28dec8018c767b0423
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d28dec8018c767b09c9
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d05dec8018c76773059
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d28dec8018c767b0642
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0cf3dec8018c76758358
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0cf5dec8018c7675c2ec
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d28dec8018c767b088a
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d3ddec8018c767d1e22
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 1, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67896e4e5f5eedb9b54db03f
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 1, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d623e2207e70b544042
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 7, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d603e2207e70b543216
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 37, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d563e2207e70b537267
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 17, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d563e2207e70b53724c
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 17, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/670ea1aaf0923f9bcdabc71b
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 36, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67a68d623e2207e70b54406a
Date: 09-24-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 39, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-24-2025-phoenix-az-chase-field/events/66a1723a6a7963095dbe0ae7/listings/67ca0d1fdec8018c7679f567
