Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 320, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e475f5eedb9b54cf90e
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 139, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c443e2207e70b38bda6
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b3118b98988f2db3ce2c6
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 331, Row: 4, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b74dec8018c765fed31
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 302, Row: 5, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95c05dec8018c767436fd
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 329, Row: 8, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95c11dec8018c7675d1b3
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 304, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b6edec8018c765f0ed5
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b3118b98988f2db3ce2a1
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 136, Row: 35, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c3f3e2207e70b37dd1e
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 103, Row: 14, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/677b3118b98988f2db3ce283
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 105, Row: 28, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c303e2207e70b35a956
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67896e4c5f5eedb9b54d6aef
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 326, Row: 3, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c303e2207e70b35a953
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 108, Row: 33, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67a68c303e2207e70b35a9bf
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b86dec8018c76621842
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 306, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95bffdec8018c767340e2
Date: 09-21-2025, Home Team: Dbacks, Away Team: Phillies, Section: 327, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/phillies-at-diamondbacks-tickets/9-21-2025-phoenix-az-chase-field/events/66a1723716885b26c912bf59/listings/67d95b7cdec8018c7660e15a
