Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 40, Price: $34, Est. Price: $54.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843309050
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8844987701
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 301, Row: 2, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8843274320
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 10, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8844987698
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8844995185
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829694381
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 328, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679902
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 3, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679874
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 310, Row: 24, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8869880651
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 320, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862508481
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 103, Row: 29, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8849399856
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 319, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868724559
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 321, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8869224667
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 322, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8868724048
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 315, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862423287
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 18, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8862365774
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 1, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8844987689
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 14, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679135
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 331, Row: 1, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8847869961
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 10, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679800
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8830450735
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 324, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679310
Date: 03-30-2025, Home Team: Dbacks, Away Team: Cubs, Section: 326, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-3-30-2025/event/154654316/?quantity=2&listingId=8829679786
