Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 303, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c3432cdec8018c769b5f4d?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 304, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c4d3e0dec8018c76b53cc1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 308, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c30b8cdec8018c764ec354?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 325, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c03edec8018c76daecc7?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 323, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c018dec8018c76d864ea?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 305, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c018dec8018c76d86527?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 327, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c34334dec8018c769c3093?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 309, Row: 18, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c030dec8018c76d9e617?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 15, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67b0ca972f94efc810752c18?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 307, Row: 8, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c024dec8018c76d93336?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 326, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c021dec8018c76d902a3?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 324, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c03cdec8018c76dacf54?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 306, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c48128dec8018c76ad57c1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 302, Row: 17, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67a96af53e2207e70bc501a1?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 330, Row: 17, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/679bdfa9f6af5e52e436f674?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 312, Row: 17, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c30b8adec8018c764e9579?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 317, Row: 16, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c041dec8018c76db3fce?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 321, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c352d1dec8018c76fd0b9e?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 310, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c01ddec8018c76d8ceba?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 311, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c03cdec8018c76dace71?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
Date: 03-29-2025, Home Team: Dbacks, Away Team: Cubs, Section: 316, Row: 20, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/cubs-at-diamondbacks-tickets/3-29-2025-phoenix-az-chase-field/events/66a15eca46ad6106d28792f2/listings/67c1c01fdec8018c76d8e684?q=suns&d=eyJzZWFyY2hTZXNzaW9uSUQiOiI5OGMyMjdkYS03ZGJlLTRjNzYtOTYxZi1iY2JkOWE3ZDQyYzgiLCJrZXlzdHJva2VTZXF1ZW5jZSI6MTAsImFwaVNlcXVlbmNlIjoyfQ%3D%3D&queryId=c9f292267b20c20ef7def35929dd89fa&resultPosition=1&searchIndex=events&searchSessionId=ffb4ede9-0ecf-40cb-9800-983656ccfa79
