Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957f8dec8018c761cdf49
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 8, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67db16e0dec8018c7618ecc8
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957fbdec8018c761d1184
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 10, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95809dec8018c761dbeec
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 9, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957f1dec8018c761c83ce
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 11, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/670ea1aef0923f9bcdac0641
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 18, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67a68ce03e2207e70b4a36aa
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 1, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67896e415f5eedb9b54c67c2
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 2, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/670ea1b3f0923f9bcdac9417
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95807dec8018c761db0a0
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 10, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67896e415f5eedb9b54c6808
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95804dec8018c761d9094
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d95804dec8018c761d919d
Date: 09-23-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/9-23-2025-phoenix-az-chase-field/events/66a17238218fbd1123388296/listings/67d957fedec8018c761d30c5
