Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 309, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987014872
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 323, Row: 11, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8994605647
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 324, Row: 15, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987014852
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 325, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8986896226
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 326, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058161
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 327, Row: 9, Price: $35, Est. Price: $56.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8987058813
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 311, Row: 20, Price: $36, Est. Price: $57.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8937128892
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 312, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936888437
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 301, Row: 1, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8936889514
Date: 09-19-2025, Home Team: Dbacks, Away Team: Phillies, Section: 103, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-19-2025/event/154664753/?quantity=2&listingId=8793496803
