Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 410, Row: 3, Price: $225.00, Est. Price: $225.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67bf62b82f94efc810856638?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 117, Row: 31, Price: $229.00, Est. Price: $229.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67bf62b82f94efc810856633?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 414, Row: 5, Price: $235.00, Est. Price: $235.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00bb72f94efc810019183?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 435, Row: A, Price: $239.00, Est. Price: $239.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5e5dec8018c760f71f6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 412, Row: 11, Price: $240.00, Est. Price: $240.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdfa9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 452, Row: A, Price: $242.00, Est. Price: $242.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5cfdec8018c760ddbbf?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 449, Row: A, Price: $253.00, Est. Price: $253.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5e6dec8018c760f9056?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 413, Row: 7, Price: $259.00, Est. Price: $259.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00bac2f94efc81000de86?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 113, Row: 34, Price: $262.00, Est. Price: $262.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7a9?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 443, Row: 5, Price: $262.00, Est. Price: $262.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67bf624e2f94efc81077fda8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 440, Row: A, Price: $283.00, Est. Price: $283.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5b4dec8018c760a0711?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 447, Row: 1, Price: $297.00, Est. Price: $297.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5dfdec8018c760f0af2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 125, Row: 30, Price: $318.00, Est. Price: $318.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67b51d2a2f94efc810a9cd92?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 134, Row: 25, Price: $320.00, Est. Price: $320.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc85a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 230, Row: 2, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67bf62432f94efc81075bda1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 452, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef45f5eedb9b5eadd29?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 422, Row: 19, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/6789cef55f5eedb9b5eafd16?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 125, Row: 7, Price: $335.00, Est. Price: $335.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7f5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 113, Row: 15, Price: $339.00, Est. Price: $339.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b782f94efc810fbdfc4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 445, Row: E, Price: $345.00, Est. Price: $345.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc7c8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 454, Row: A, Price: $353.00, Est. Price: $353.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c9e5cfdec8018c760ddbb7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd5, Home Team: Cardinals, Away Team: Rams, Section: 125, Row: 18, Price: $354.00, Est. Price: $354.00, URL: https://gametime.co/nfl-football/rams-at-cardinals-tickets/3-1-2026-glendale-az-state-farm-stadium/events/677c937a4a73ee7c500beeda/listings/67c00b772f94efc810fbc848?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
