Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 303, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aabd4811782d30ed324
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 304, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9ad4811782d30d3331
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 6, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa9d4811782d30e9d39
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 330, Row: 10, Price: $61.00, Est. Price: $61.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42a9dd4811782d30d69c6
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 140, Row: 16, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/676db06cb98988f2db99be4f
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 308, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa9d4811782d30e9e22
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 325, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa5d4811782d30e0a4f
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 323, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa0d4811782d30dae91
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 305, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa5d4811782d30e0a61
Date: 07-05-2025, Home Team: Dbacks, Away Team: Royals, Section: 327, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-5-2025-phoenix-az-chase-field/events/66a171bd6d7009199741d7cf/listings/67e42aa2d4811782d30dcca5
