Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e15d3cd4811782d3eb47dc
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/677b23e5b98988f2dbecd33b
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32025d4811782d3307575
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32046d4811782d333f2ba
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 300, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e3202bd4811782d330f601
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32024d4811782d3304cc9
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 304, Row: 13, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67e32027d4811782d330a4a4
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/677b23e5b98988f2dbecd38f
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 26, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/67a67b343e2207e70b86bfd9
Date: 06-09-2025, Home Team: Dbacks, Away Team: Mariners, Section: 139, Row: 17, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/mariners-at-diamondbacks-tickets/6-9-2025-phoenix-az-chase-field/events/66a1717c84a777b1941b9818/listings/670ea148f0923f9bcda2bab2
