Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 315, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936807508
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 102, Row: 19, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8937486977
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 108, Row: 30, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8937486963
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 329, Row: 40, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9106462893
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 310, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936275288
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 313, Row: 1, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8725100520
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 104, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8058145823
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 306, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936275027
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 324, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936279896
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 103, Row: 17, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8936280204
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 140, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=9031348825
Date: 06-10-2025, Home Team: Dbacks, Away Team: Mariners, Section: 144, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-10-2025/event/154663272/?quantity=2&listingId=8058152041
