Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 104, Row: 14, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d75c1a2fe259046167fe
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 144, Row: 11, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d7e81a2fe259046b9aad
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 3, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea100f0923f9bcd9c48ab
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 325, Row: 1, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea103f0923f9bcd9c7fc5
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 306, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea104f0923f9bcd9c8bdd
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 137, Row: 29, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea107f0923f9bcd9cc3e4
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea107f0923f9bcd9cc3f3
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e2c5f5eedb9b54a0f24
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e375f5eedb9b54b5e71
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 101, Row: 22, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e15d37d4811782d3eb00ff
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 140, Row: 39, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6764fbc4b98988f2db857030
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32024d4811782d330460d
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32029d4811782d330d2d5
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32040d4811782d333304b
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3204cd4811782d334f257
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3204fd4811782d3355717
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32053d4811782d335c385
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32053d4811782d335c582
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32054d4811782d335e908
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea100f0923f9bcd9c59e4
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea107f0923f9bcd9ccde2
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/670ea10af0923f9bcd9ceb45
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e245f5eedb9b5493e1a
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67896e3d5f5eedb9b54c0fb7
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 332, Row: 30, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef46310b271341d171d14d
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 300, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef46b60b271341d185f51e
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef47280b271341d19369f8
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 331, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef47290b271341d1937cdf
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 38, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef47650b271341d19b72bc
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef47b30b271341d1a4b58c
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 301, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67ef48650b271341d1b79c9d
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 111, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/6704d8a21a2fe2590477776e
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 105, Row: 18, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e15d35d4811782d3eae308
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 327, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32023d4811782d3303e57
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 308, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32025d4811782d3306c8c
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 323, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32029d4811782d330cf73
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 309, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3202ed4811782d33149a5
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 325, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32046d4811782d333f0f5
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 306, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e3204ed4811782d3353003
Date: 05-28-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-28-2025-phoenix-az-chase-field/events/66a17157218fbd112338826e/listings/67e32057d4811782d3362a8d
