Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc78b98988f2db97f59c
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/6764fc79b98988f2db9805c3
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 315, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e285f5eedb9b549aa2a
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 316, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e355f5eedb9b54b35ea
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea14cf0923f9bcda2ef07
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea14ff0923f9bcda356f6
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e15d32d4811782d3eaa71f
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b23e5b98988f2dbecd37d
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6ded4811782d37769e8
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dad4811782d376c393
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dad4811782d376ca54
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 328, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d3d4811782d3763569
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d3d4811782d37632f5
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b23e5b98988f2dbecd338
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 103, Row: 14, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/677b23e5b98988f2dbecd304
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 15, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f4e3e2207e70b024487
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 319, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea14bf0923f9bcda2dcd3
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 318, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67a67f523e2207e70b030816
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67896e345f5eedb9b54b1c29
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e5cd4811782d3b1c7b4
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e49d4811782d3aec272
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e45e54d4811782d3b02c65
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 137, Row: 29, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/670ea14ef0923f9bcda340a8
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6d6d4811782d3766a8a
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6cbd4811782d3757dc0
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6c8d4811782d3751fe1
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6cad4811782d3754d24
Date: 06-27-2025, Home Team: Dbacks, Away Team: Marlins, Section: 327, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-27-2025-phoenix-az-chase-field/events/66a171ad66e0626c8de367d0/listings/67e3d6dfd4811782d377a254
