Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 318, Row: 11, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9031718491
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 32, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9074265018
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 308, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8848737272
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 101, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9113888673
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 307, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=8827482047
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025773790
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 304, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9032674966
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025773806
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9025775495
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 18, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-5-2025/event/154654763/?quantity=2&listingId=9112893835
