Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32044d4811782d333aab9
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32044d4811782d333b504
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e3204bd4811782d334bddb
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32051d4811782d33579ef
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32052d4811782d335a5a8
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 328, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32056d4811782d3361b86
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 303, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32057d4811782d3362b90
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 7, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67ec2858d4811782d3019611
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 1, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67edbf87d4811782d3a9564d
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 19, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67a67acd3e2207e70b7cee45
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 101, Row: 22, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e15d32d4811782d3eaac39
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 312, Row: 10, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67896fc55f5eedb9b578bc0a
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 21, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67c3f5c0dec8018c76813569
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 311, Row: 23, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67d2331adec8018c76b85626
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 10, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32038d4811782d3323332
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 12, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67e32044d4811782d333a869
Date: 05-31-2025, Home Team: Dbacks, Away Team: Nationals, Section: 141, Row: 13, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-31-2025-phoenix-az-chase-field/events/66a1715f5629c84cf24f1e62/listings/67b4f4cb2f94efc8102d6c14
