Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 2, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67896e4d5f5eedb9b54d8958
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 329, Row: 18, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f4e3e2207e70b02447b
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 332, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cdd4811782d375a93d
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 331, Row: 6, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6e3d4811782d378121d
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 300, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cad4811782d375529e
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 330, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d1d4811782d3760e39
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 302, Row: 10, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cdd4811782d375a970
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 328, Row: 11, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6dad4811782d376c820
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 303, Row: 12, Price: $54.00, Est. Price: $54.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6dfd4811782d377a853
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 324, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6c8d4811782d3751f85
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 308, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cad4811782d37552fd
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6cfd4811782d375da32
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 323, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67eb7ea9d4811782d3a6e0b1
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 305, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d8d4811782d3769bba
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 306, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6e3d4811782d378132f
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6ddd4811782d37762b0
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 309, Row: 13, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e3d6d1d4811782d3760b64
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 21, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f523e2207e70b0307ef
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 140, Row: 39, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc78b98988f2db97f480
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 312, Row: 10, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67896e465f5eedb9b54cd830
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 325, Row: 16, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67a67f543e2207e70b0367f9
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 301, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/67e45e68d4811782d3b403a7
Date: 06-28-2025, Home Team: Dbacks, Away Team: Marlins, Section: 104, Row: 39, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-28-2025-phoenix-az-chase-field/events/66a171af218fbd112338827c/listings/6764fc75b98988f2db97a7cf
