Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 101, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9034268185
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 144, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533765200
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 310, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9041955898
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 320, Row: 17, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8937169048
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 102, Row: 19, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936620684
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 108, Row: 30, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936620681
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 111, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533782704
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 313, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936802332
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 102, Row: 18, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936622329
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 315, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936802381
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 318, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936805133
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 107, Row: 29, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936803049
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 111, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533782657
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 307, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936622453
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 306, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936623224
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 324, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936623255
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 140, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9083284673
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 306, Row: 2, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936620652
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 326, Row: 40, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8655258953
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 310, Row: 3, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8936710248
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 133, Row: 9, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8533785028
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 22, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8907572952
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 23, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8911000196
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 300, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9025065501
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 23, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8913780414
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 24, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8913780208
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 332, Row: 25, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8913780315
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 132, Row: 4, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8894838006
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 140, Row: 11, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9032448869
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 105, Row: 18, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=9034268524
Date: 07-23-2025, Home Team: Dbacks, Away Team: Astros, Section: 319, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-7-23-2025/event/154664037/?quantity=2&listingId=8941092303
