Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3202cd4811782d3312b22
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32050d4811782d335649d
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32056d4811782d3360ff2
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 12, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203ad4811782d3325068
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 327, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203bd4811782d3327ba1
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/6764fc75b98988f2db97a8a5
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/6764fc75b98988f2db97a92c
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 2, Price: $64.00, Est. Price: $64.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67bc81ec2f94efc810cbf9c2
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 312, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203ad4811782d3324c9c
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32027d4811782d3309b77
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e32040d4811782d33329c4
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3204ad4811782d334af5c
Date: 06-15-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-15-2025-phoenix-az-chase-field/events/66a1718f89fae7767613368b/listings/67e3203fd4811782d332efd8
