Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67bc81ec2f94efc810cbf75d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc76b98988f2db97b9fc
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/6764fc78b98988f2db97f51d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 320, Row: 15, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67aab4c73e2207e70bb4e80d
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67a682ab3e2207e70b55b48a
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e15d3dd4811782d3eb688b
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 103, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b3118b98988f2db3ce2bb
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b3118b98988f2db3ce295
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322ad4811782d3f77b5c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4322cd4811782d3f79f0f
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e4323ed4811782d3f93e2c
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43231d4811782d3f80bff
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 328, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43236d4811782d3f863f7
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 303, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67e43237d4811782d3f88cef
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/677b3118b98988f2db3ce386
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 139, Row: 17, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/670ea14df0923f9bcda3321a
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 107, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e265f5eedb9b54976b1
Date: 07-06-2025, Home Team: Dbacks, Away Team: Royals, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/royals-at-diamondbacks-tickets/7-6-2025-phoenix-az-chase-field/events/66a171bfe6f5d70d01cdf3ff/listings/67896e3a5f5eedb9b54bbc42
