Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 102, Row: 19, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e3f0923f9bcd9ac6b3
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 8, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67a64feb3e2207e70ba8b79a
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0d7f0923f9bcd99bc50
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 137, Row: 29, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0dbf0923f9bcd9a2d51
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 139, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0dcf0923f9bcd9a3cc8
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 306, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e0f0923f9bcd9a92e9
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 3, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/670ea0e7f0923f9bcd9af7d6
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 317, Row: 32, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764faceb98988f2db6363b8
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 137, Row: 39, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764facfb98988f2db638644
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67e71078d4811782d37a0669
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 314, Row: 9, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/67ed9094d4811782d329c25c
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 107, Row: 39, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764facfb98988f2db638512
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 307, Row: 40, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad0b98988f2db638d68
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 39, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad1b98988f2db63c0ec
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 323, Row: 36, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad2b98988f2db63cbdc
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 326, Row: 40, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-6-2025-phoenix-az-chase-field/events/66a17109030e7f93ea115db7/listings/6764fad3b98988f2db63dd35
