Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 303, Row: 1, Price: $55.00, Est. Price: $55.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/670ea16af0923f9bcda61c65
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447d8d4811782d399de0a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 323, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44807d4811782d3a08e7a
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 305, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447e2d4811782d39b3d89
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 301, Row: 1, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683613e2207e70b61fa81
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 306, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447fad4811782d39e9bdc
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e44822d4811782d3a4ab26
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 309, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447efd4811782d39d189b
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447d8d4811782d399de35
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 326, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447efd4811782d39d0d25
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 311, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/670ea16bf0923f9bcda62ec1
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 324, Row: 12, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e447f1d4811782d39d5365
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 11, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e4482fd4811782d3a6c09e
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 312, Row: 10, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67896e4c5f5eedb9b54d6a93
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 321, Row: 9, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/670ea165f0923f9bcda5b534
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 308, Row: 17, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683693e2207e70b62cdfa
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 332, Row: 29, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e45e61d4811782d3b2c47d
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 331, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e45e90d4811782d3b92516
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 307, Row: 16, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67a683733e2207e70b63e9a9
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 300, Row: 30, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e45e5fd4811782d3b2815f
Date: 07-18-2025, Home Team: Dbacks, Away Team: Cardinals, Section: 302, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/cardinals-at-diamondbacks-tickets/7-18-2025-phoenix-az-chase-field/events/66a171d3030e7f93ea115dce/listings/67e45e4ed4811782d3af4f5a
