Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 39, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2bb98988f2dbb6942d
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 36, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2db98988f2dbb6d69c
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67bc81ec2f94efc810cbf97e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 102, Row: 19, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea150f0923f9bcda36cce
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e15d35d4811782d3eae5b4
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 103, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b3118b98988f2db3ce322
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b3118b98988f2db3ce2bf
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e245f5eedb9b5493cc9
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 316, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67896e2c5f5eedb9b54a0fa6
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50febd4811782d32c05ac
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51001d4811782d32de086
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 330, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fe9d4811782d32be778
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/677b3118b98988f2db3ce34f
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 136, Row: 30, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686953e2207e70bab4fc7
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 105, Row: 26, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a6869e3e2207e70babcfea
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 104, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd29b98988f2dbb62241
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 319, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/670ea14ff0923f9bcda35677
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67ae29382f94efc81076227d
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686a53e2207e70bac7361
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 3, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67a686ab3e2207e70baceaf7
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e61d4811782d3b2c083
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e71d4811782d3b59114
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e46d4811782d3ae5493
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/6764fd2ab98988f2dbb6480e
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 328, Row: 40, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e94d4811782d3b9ca4b
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e45e74d4811782d3b60a55
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50febd4811782d32c0f08
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e5101ad4811782d33011c6
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50fffd4811782d32db4f2
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 305, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51003d4811782d32dfc8a
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e51010d4811782d32f1eac
Date: 08-04-2025, Home Team: Dbacks, Away Team: Padres, Section: 327, Row: 9, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/8-4-2025-phoenix-az-chase-field/events/66a171f37a8b3ce2b5a976e1/listings/67e50ff3d4811782d32cd036
