Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e15d3dd4811782d3eb6c28
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32023d4811782d3303d60
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 304, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3202cd4811782d33122c1
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32035d4811782d331ee9e
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3204dd4811782d3351800
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3204fd4811782d3353ea8
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3205ad4811782d3366f1a
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 300, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3205ad4811782d3367154
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764fad0b98988f2db63a7b4
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/677b23e5b98988f2dbecd2e2
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67896fbc5f5eedb9b577e397
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 318, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651983e2207e70bce916b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 136, Row: 36, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651993e2207e70bce9d5a
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 307, Row: 2, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651a13e2207e70bcefd81
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef46e40b271341d18b9d4d
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef47110b271341d1903ab7
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 300, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef476c0b271341d19c64c5
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef47af0b271341d1a426fe
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67ef48670b271341d1b7ccd8
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 39, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/6764fad1b98988f2db63c0ae
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 325, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e3202ed4811782d3315438
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 327, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67e32051d4811782d3357ff5
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 306, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67edc05fd4811782d3bd1f0b
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 309, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67eded45d4811782d3067520
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 323, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67eff6270b271341d19ff7b4
Date: 05-16-2025, Home Team: Dbacks, Away Team: Rockies, Section: 326, Row: 1, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-16-2025-phoenix-az-chase-field/events/66a1712b81e1bdde81adde60/listings/67a651983e2207e70bce9177
