Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e59cafd4811782d327459f
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 6, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67eefb2d0b271341d1c1fb4c
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 12, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368cd4811782d39fae57
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368ed4811782d39fb6c0
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 11, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368fd4811782d39fbf9e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33691d4811782d39fc87b
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33692d4811782d39fd9a8
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33694d4811782d39fe8fb
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33694d4811782d39fe915
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 17, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33697d4811782d39fff2e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 16, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67eb6e28d4811782d35fe59c
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 10, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f03e790b271341d134dcde
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db63a7ed
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 32, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad2b98988f2db63cc2f
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 32, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad3b98988f2db63dcf2
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 21, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67b4ea532f94efc8100d42ff
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368bd4811782d39fa5bc
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368ed4811782d39fb6ea
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368fd4811782d39fbf34
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368fd4811782d39fbfe6
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 12, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368fd4811782d39fbfef
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e33697d4811782d39ffec1
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e6a955d4811782d3812d56
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e9b7c7d4811782d39aadd1
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 10, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67ed7f8dd4811782d32cf850
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 16, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67eda444d4811782d371700c
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 11, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f03e630b271341d1322f1f
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764facfb98988f2db6384fe
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67c88e35dec8018c768fa806
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67c88eefdec8018c769bbfb7
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 11, Price: $63.00, Est. Price: $63.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368ed4811782d39fb716
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 39, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638d77
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 32, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e34184d4811782d3d375e5
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 40, Price: $67.00, Est. Price: $67.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3419ad4811782d3d57300
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 33, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368ed4811782d39fb67c
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 31, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67ec2c72d4811782d3692e0d
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 22, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67ecc53cd4811782d3ad7345
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 23, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67ecc53ed4811782d3ad847a
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 36, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67edaf78d4811782d3c47945
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 22, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67edf028d4811782d35ae325
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 23, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f003c40b271341d10bcf98
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 32, Price: $68.00, Est. Price: $68.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67f03e790b271341d134dcaf
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 37, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67bd4c442f94efc810ae35bd
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 34, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e3368fd4811782d39fc021
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 22, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e9c415d4811782d3dbe406
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e34192d4811782d3d4bb27
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67e34192d4811782d3d4bb2e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 39, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764faceb98988f2db63635d
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 39, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db638d26
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 31, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad1b98988f2db63c035
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 39, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764faceb98988f2db6363c9
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 18, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67ead1eed4811782d39a471e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 37, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/679bed62f6af5e52e4678a3d
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 17, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/679bed6bf6af5e52e4682ebc
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 12, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/677e8e89b98988f2db88e61a
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 28, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/679bed62f6af5e52e4678a52
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 28, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67896e565f5eedb9b54e8ea0
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 31, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/679bed63f6af5e52e467a093
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 27, Price: $80.00, Est. Price: $80.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67bd4c442f94efc810ae35b6
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 21, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67896e415f5eedb9b54c67e2
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 26, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67896e515f5eedb9b54e0610
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 14, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/677e8e7bb98988f2db878c52
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 217, Row: 11, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764faceb98988f2db6363ac
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 203, Row: 11, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764fad0b98988f2db63a86d
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 25, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67c49db9dec8018c76ef1233
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 17, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/670ea226f0923f9bcdb7397e
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 200, Row: 11, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/6764faceb98988f2db636393
Date: 05-08-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 17, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-8-2025-phoenix-az-chase-field/events/66a1710ed5a3c65ac4471d70/listings/67896e465f5eedb9b54cd8fa
