Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 306, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9110821568
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 326, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9112167511
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 312, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9085484494
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 315, Row: 12, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8833265482
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 314, Row: 24, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9085484930
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044750
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 11, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044753
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 12, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044778
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 13, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044784
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 14, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044803
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 6, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=9087715968
Date: 05-17-2025, Home Team: Dbacks, Away Team: Rockies, Section: 303, Row: 15, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-17-2025/event/154662237/?quantity=2&listingId=8892044811
