Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 215, Row: 7, Price: $48, Est. Price: $76.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9122483666
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 204, Row: 13, Price: $48, Est. Price: $76.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9114318989
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 11, Price: $48, Est. Price: $76.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9107041875
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 203, Row: 12, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9126651649
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 10, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096855157
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 13, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097070771
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 207, Row: 8, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9126651700
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 205, Row: 12, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096859092
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 14, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096444859
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 12, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096526885
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 206, Row: 12, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096996472
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 218, Row: 13, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096910342
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 221, Row: 11, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9107630186
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 215, Row: 13, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9097043418
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 216, Row: 13, Price: $49, Est. Price: $78.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9096530009
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 219, Row: 14, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9125283784
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 6, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9110611813
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 208, Row: 10, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9070035128
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9070035129
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9070035118
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 12, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9127150333
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 212, Row: 6, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088630519
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088630202
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 212, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088627940
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 208, Row: 3, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9089067968
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 213, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088636138
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 214, Row: 10, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9088627484
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 210, Row: 10, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708239
Date: 05-15-2025, Home Team: Phx Arena, Away Team: Disturbed, Section: 209, Row: 6, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/disturbed-phoenix-tickets-5-15-2025/event/155763219/?quantity=2&listingId=9087708441
