Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 40, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010214161
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 329, Row: 39, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010214157
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 331, Row: 32, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9010214165
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 105, Row: 18, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9034268617
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 1, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936887476
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 331, Row: 1, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936888535
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 303, Row: 14, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8941092538
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 104, Row: 39, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260079
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 140, Row: 39, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8655260124
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 302, Row: 9, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8829722253
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 315, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936805300
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 330, Row: 1, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8936805463
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 13, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8937234677
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341018
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 10, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8894441420
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 304, Row: 28, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8882341270
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 328, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=8829713416
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 307, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9041956029
Date: 08-23-2025, Home Team: Dbacks, Away Team: Reds, Section: 318, Row: 12, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-23-2025/event/154664338/?quantity=2&listingId=9041957331
