Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 311, Row: 11, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea145f0923f9bcda27459
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 312, Row: 10, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67896e2a5f5eedb9b549dd6b
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 321, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea14df0923f9bcda33257
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67bc81ec2f94efc810cbf921
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc79b98988f2db980657
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 307, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/6764fc75b98988f2db97a89c
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 139, Row: 26, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67a67fed3e2207e70b13a596
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/677b23e5b98988f2dbecd2fc
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 108, Row: 30, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/670ea142f0923f9bcda2309d
Date: 06-29-2025, Home Team: Dbacks, Away Team: Marlins, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/marlins-at-diamondbacks-tickets/6-29-2025-phoenix-az-chase-field/events/66a171b3030e7f93ea115dc8/listings/67e15d3dd4811782d3eb6fc7
