Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 1, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222734
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9108148971
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025220845
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 328, Row: 9, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222720
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222737
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 303, Row: 7, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222183
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 328, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9112997827
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 17, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9108148989
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 3, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222743
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 7, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222713
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 303, Row: 17, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9108148992
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025220865
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9113001917
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9108546514
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 21, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9113409626
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 27, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9113411039
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222767
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 105, Row: 18, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9034268338
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 13, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8024663995
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 33, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9086527802
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 111, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533642613
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 308, Row: 2, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9093614810
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 319, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9093613386
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 318, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936803448
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 3, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936803529
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 3, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8024663309
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 307, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936622552
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936624234
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 325, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9093613396
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 133, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8533646692
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 326, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=8936624332
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 140, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9090739990
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222263
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 309, Row: 11, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9043627926
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 323, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9100447175
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 9, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9025222622
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 324, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-30-2025/event/154662971/?quantity=2&listingId=9112997902
