Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 231, Row: 14, Price: $47, Est. Price: $75.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9050876200
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 223, Row: 14, Price: $50, Est. Price: $80, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016256444
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 222, Row: 14, Price: $53, Est. Price: $84.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9115020506
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 12, Price: $56, Est. Price: $89.60000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016145538
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 14, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9001188053
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 10, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761102
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 14, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9120729728
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 11, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9002757171
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 221, Row: 14, Price: $57, Est. Price: $91.2, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042168594
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 14, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9001188061
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 8, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8996648606
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 13, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9012940307
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9016145554
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 213, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9046761322
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 210, Row: 11, Price: $58, Est. Price: $92.80000000000001, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998389394
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 227, Row: 13, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9064429144
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 14, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9057441283
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 13, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9014256758
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 220, Row: 14, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8996648591
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 221, Row: 9, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9000486169
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 232, Row: 10, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042157308
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 11, Price: $59, Est. Price: $94.4, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998416107
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 217, Row: 13, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9036559940
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 213, Row: 9, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998653789
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 231, Row: 10, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9088384957
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 10, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761106
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 209, Row: 8, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9002786365
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 205, Row: 13, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9064968241
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 205, Row: 10, Price: $60, Est. Price: $96, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998389167
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 201, Row: 7, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9100030611
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 222, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9042167993
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 214, Row: 13, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9041693532
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 218, Row: 12, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9105274516
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 220, Row: 13, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761091
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 10, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761108
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 231, Row: 11, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9050876203
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 210, Row: 10, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998439017
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 8, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9091269596
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 226, Row: 10, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9121411839
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 9, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9112777920
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 9, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9116220892
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 13, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840482
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 228, Row: 13, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840474
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 229, Row: 13, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9062840427
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 216, Row: 10, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9066761073
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 204, Row: 10, Price: $62, Est. Price: $89.89999999999999, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998416013
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 203, Row: 10, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998415461
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 208, Row: 9, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=8998438781
Date: 07-31-2025, Home Team: Phx Arena, Away Team: Phil Wickham and Brandon Lake, Section: 225, Row: 14, Price: $64, Est. Price: $92.8, URL: https://www.stubhub.com/phil-wickham-phoenix-tickets-7-31-2025/event/157487360/?quantity=2&listingId=9057441949
