Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 215, Row: 8, Price: $84.00, Est. Price: $84.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf5d2e2f94efc810d5afaf?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 212, Row: 7, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be444c2f94efc810db3f93?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 218, Row: 7, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be44c92f94efc810e37d6e?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 220, Row: 8, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be45342f94efc810ee5e1a?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 216, Row: 7, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf5dc32f94efc810e3daf5?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 209, Row: 12, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c219d0dec8018c76799a26?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 219, Row: 8, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67ef031a0b271341d19e16c1?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 14, Price: $88.00, Est. Price: $88.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c8fdb5dec8018c763bfc09?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 218, Row: 12, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0b910dec8018c76936647?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 204, Row: 11, Price: $93.00, Est. Price: $93.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67c0b90edec8018c76933261?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 201, Row: 7, Price: $95.00, Est. Price: $95.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be6b312f94efc8106df73a?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 205, Row: 13, Price: $98.00, Est. Price: $98.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67bf480f2f94efc810c11a4f?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
Date: 11-04-2025, Home Team: PHX Arena, Away Team: Tate McRae, Section: 217, Row: 7, Price: $100.00, Est. Price: $100.00, URL: https://gametime.co/concert/tate-mc-rae-tickets/11-4-2025-phoenix-az-phx-arena/events/67b65d39cf8e14e8ff5dbbbd/listings/67be6b312f94efc8106df747?queryId=fc82c1f914b3ad4f1ff35caf605dd4f5&resultPosition=1&searchIndex=events&searchSessionId=cb36a63c-6448-430b-b70c-b84e3e89ec0d
