Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 314, Row: 13, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67a691273e2207e70bb04db9
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 304, Row: 40, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764facfb98988f2db638574
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 32, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad0b98988f2db638e07
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 300, Row: 32, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad2b98988f2db63cc41
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 16, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/676da8f1b98988f2dbcc5187
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 322, Row: 12, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e70f7fd4811782d360c5cb
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 142, Row: 13, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6786811f5f5eedb9b568e1ab
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 307, Row: 2, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67bc81ec2f94efc810cbf8ae
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 318, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67bcf58d2f94efc810f7ac8d
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 32, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764faceb98988f2db63633a
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 104, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad1b98988f2db63c10b
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 107, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/6764fad2b98988f2db63cbc1
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 320, Row: 9, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67896e295f5eedb9b549badd
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 101, Row: 22, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e15d39d4811782d3eb1ffc
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 8, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67896e2a5f5eedb9b549ddce
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 315, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67896e3b5f5eedb9b54bd710
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 317, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67a691163e2207e70baf265a
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 140, Row: 26, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67a691223e2207e70bafecfc
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 329, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e32038d4811782d33223c4
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e32038d4811782d3322588
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e3203dd4811782d332b901
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 5, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e32042d4811782d3337d14
Date: 05-05-2025, Home Team: Dbacks, Away Team: Mets, Section: 324, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/mets-at-diamondbacks-tickets/5-5-2025-phoenix-az-chase-field/events/66a17108d8d60cfab6f1b751/listings/67e70f89d4811782d361ad38
