Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 324, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32035d4811782d331e3fc
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32047d4811782d3343763
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 325, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3202bd4811782d330f757
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 323, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32029d4811782d330c42e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 305, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3204fd4811782d335548e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32040d4811782d333375e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 327, Row: 10, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3202bd4811782d330f2aa
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 11, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32049d4811782d3348933
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 307, Row: 9, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3203fd4811782d332ec4c
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 326, Row: 12, Price: $56.00, Est. Price: $56.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32051d4811782d33573db
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 22, Price: $57.00, Est. Price: $57.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67bb13e2207e70b8ed8cf
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 22, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67bac3e2207e70b8e5f74
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 332, Row: 30, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e45baad4811782d35f0ce8
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 301, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e45bacd4811782d35f3e2e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 331, Row: 32, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e45b92d4811782d35d37dc
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 29, Price: $58.00, Est. Price: $58.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e45b84d4811782d35be20b
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67896e415f5eedb9b54c67d7
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 316, Row: 9, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67896e505f5eedb9b54decaa
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 308, Row: 19, Price: $59.00, Est. Price: $59.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67a67ba23e2207e70b8d6ee1
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 315, Row: 15, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32049d4811782d3349669
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 314, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32044d4811782d333a9a7
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 313, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3204cd4811782d334f1cf
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 312, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32057d4811782d3362b30
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 317, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32046d4811782d333f256
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 321, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e3204ed4811782d3352a2c
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 310, Row: 11, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32025d4811782d330643e
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 311, Row: 13, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67edd8a6d4811782d3b3b44b
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 316, Row: 17, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32030d4811782d331748b
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 322, Row: 12, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/padres-at-diamondbacks-tickets/6-13-2025-phoenix-az-chase-field/events/66a171862c60a212e6ab492b/listings/67e32031d4811782d3319d99
