Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 101, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9034268165
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936622027
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937168584
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 25, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8510877567
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 39, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9105927070
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8991477481
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 3, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8833280758
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 328, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8829829012
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 8, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936801475
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9060874458
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9060874540
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 137, Row: 29, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8937493527
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 3, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9060874682
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 10, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8533642540
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 12, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9090740042
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936625287
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936625306
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=9060874561
Date: 06-30-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-30-2025/event/154663568/?quantity=2&listingId=8936625396
