Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 303, Row: 2, Price: $14, Est. Price: $25.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062544794
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=8936330202
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062543582
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 330, Row: 1, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062544862
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 2, Price: $16, Est. Price: $28.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062543625
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 302, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=8936433419
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 301, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062544742
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 331, Row: 1, Price: $17, Est. Price: $30.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062544899
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 312, Row: 10, Price: $18, Est. Price: $32.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9062544535
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 310, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9074265061
Date: 05-06-2025, Home Team: Dbacks, Away Team: Mets, Section: 313, Row: 32, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-5-6-2025/event/154654919/?quantity=2&listingId=9074265065
