Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 103, Row: 14, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d75c1a2fe25904616890
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 310, Row: 3, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea104f0923f9bcd9c8b5f
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 306, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea106f0923f9bcd9cb556
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 139, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10bf0923f9bcd9cf467
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/670ea10ef0923f9bcd9d3253
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e295f5eedb9b549bac3
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 102, Row: 18, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e2d5f5eedb9b54a2bac
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 107, Row: 29, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67896e385f5eedb9b54b7844
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 144, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/6704d7e81a2fe259046b9a42
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32033d4811782d331ca97
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32035d4811782d331e5f7
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 330, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32036d4811782d332025a
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e32038d4811782d3322948
Date: 05-27-2025, Home Team: Dbacks, Away Team: Pirates, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/pirates-at-diamondbacks-tickets/5-27-2025-phoenix-az-chase-field/events/66a17153532195d52b9a5a20/listings/67e3203fd4811782d332e86a
