Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 408, Row: 23, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9084285861
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 436, Row: 22, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9084287067
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 437, Row: 12, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8849218813
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 420, Row: 13, Price: $73, Est. Price: $105.85, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9109299665
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 436, Row: 11, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8849221585
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 18, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9097172774
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 445, Row: 18, Price: $74, Est. Price: $107.3, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9089190968
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 444, Row: 20, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8972845459
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 420, Row: 23, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8972836254
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 422, Row: 13, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8972856125
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 22, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8972838743
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 445, Row: 11, Price: $75, Est. Price: $108.75, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9055192762
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 413, Row: 15, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8901395737
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 423, Row: 22, Price: $76, Est. Price: $110.2, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9104726550
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 409, Row: 10, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8730683869
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 446, Row: 23, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9073609937
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 448, Row: 23, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8975650635
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 414, Row: 19, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9098519605
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 439, Row: 13, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719274317
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 447, Row: 14, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8837779616
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 415, Row: 14, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9120925122
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 442, Row: 14, Price: $77, Est. Price: $111.64999999999999, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9125482198
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 418, Row: 20, Price: $78, Est. Price: $113.1, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9064442323
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 438, Row: 12, Price: $78, Est. Price: $113.1, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8721662806
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 446, Row: 11, Price: $78, Est. Price: $113.1, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9032094742
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 435, Row: 16, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8721950627
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 419, Row: 13, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9106817969
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 442, Row: 8, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9113483690
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 9, Price: $79, Est. Price: $114.55, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8895067372
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 414, Row: 18, Price: $80, Est. Price: $116, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8783200353
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 413, Row: 12, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9129803657
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 23, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=9041122270
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 447, Row: 6, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8868298292
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 416, Row: 21, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8720525401
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 417, Row: 20, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8725383180
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 418, Row: 12, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8721981575
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 417, Row: 22, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719091102
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 419, Row: 11, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8849221529
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 422, Row: 6, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8720446381
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 422, Row: 8, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8719161794
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 434, Row: 7, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8720446327
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 423, Row: 12, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8720446377
Date: 05-09-2025, Home Team: State Farm Stadium, Away Team: The Weeknd, Section: 433, Row: 13, Price: $81, Est. Price: $117.45, URL: https://www.stubhub.com/the-weeknd-glendale-tickets-5-9-2025/event/157155864/?quantity=2&listingId=8752649672
