Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 102, Row: 33, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67a67a433e2207e70b6ecfce
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32023d4811782d3303f26
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 331, Row: 3, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32030d4811782d3316f0b
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 304, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32031d4811782d33199ed
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 330, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32042d4811782d3337c36
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32049d4811782d3347d3e
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 303, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e3204bd4811782d334b854
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 328, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32051d4811782d3357e70
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 300, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32053d4811782d335c161
Date: 05-30-2025, Home Team: Dbacks, Away Team: Nationals, Section: 329, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/nationals-at-diamondbacks-tickets/5-30-2025-phoenix-az-chase-field/events/66a1715b7a8b3ce2b5a976d3/listings/67e32054d4811782d335ee62
