Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 21, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652493e2207e70bdf14af
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 104, Row: 14, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/677b23e5b98988f2dbecd3b2
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 316, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67896e275f5eedb9b54985cd
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 317, Row: 9, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652403e2207e70bde0ac3
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 106, Row: 38, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652483e2207e70bdefa01
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 101, Row: 22, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e15d3ad4811782d3eb33a2
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 302, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e32025d4811782d3307185
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 328, Row: 11, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e32036d4811782d33210b2
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 300, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e3203dd4811782d332c2a8
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e32046d4811782d333fc48
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 329, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67e3204dd4811782d3351363
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 321, Row: 9, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/670ea13ef0923f9bcda1e10b
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 140, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/6764fbc1b98988f2db8508d9
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 310, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/6764fbc2b98988f2db854216
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 144, Row: 11, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/677b23e5b98988f2dbecd332
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 103, Row: 14, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/677b23e5b98988f2dbecd346
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 313, Row: 8, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67896e335f5eedb9b54aead6
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 143, Row: 27, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67a652363e2207e70bdd0535
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67ef478d0b271341d19fe1dc
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67ef480c0b271341d1ae0716
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 332, Row: 29, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67ef48120b271341d1aec444
Date: 05-18-2025, Home Team: Dbacks, Away Team: Rockies, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rockies-at-diamondbacks-tickets/5-18-2025-phoenix-az-chase-field/events/66a171358f48b5639d2f5e6b/listings/67ef482d0b271341d1b1e42c
