Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 309, Row: 10, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9078374656
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 306, Row: 8, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8930620459
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 327, Row: 9, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8829632912
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 40, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9006123103
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 205, Row: 2, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9070740057
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 140, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=9031348852
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 300, Row: 2, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123407
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123517
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 11, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123520
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 12, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8892123524
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466530
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 14, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466535
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 15, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466542
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 16, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466552
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 329, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8913968139
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 17, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466565
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 18, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466578
Date: 06-13-2025, Home Team: Dbacks, Away Team: Padres, Section: 303, Row: 19, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-6-13-2025/event/154663336/?quantity=2&listingId=8894466581
